Z,IE_model,IE_ref,Lambda
1,13.623529502493017,13.598434599702,0.0072973525643314245
2,25.9351654870619,24.587389011,0.014594705128662849
3,3.508042340602593,5.391714996,0.021892057692994273
4,6.977425962438943,9.322699,0.029189410257325698
5,13.188487470531356,8.298019,0.03648676282165712
6,22.089288276734294,11.260288,0.043784115385988545
7,37.650659287324515,14.53413,0.051081467950319974
8,56.078686425393585,13.618055,0.058378820514651396
9,77.37145812376184,17.42282,0.06567617307898282
10,101.52681590106545,21.564541,0.07297352564331425
